what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1426466980115
java.vm.version,sysinfo,,,"25.11-b03",1426466980115
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1426466980115
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1426466980676
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1426466980692
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1426466981519
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1426466982127
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1426466983827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426466992907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467034278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1426467034278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467036649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467067425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467627934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467628917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426467943835
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1426467944474
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1426467946284
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1426467952524
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426467954786
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1426467954895
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1426467954911
